"First","Last","Player","Season","Team","Min","Pos","Passes","PassPct","xPassPct","Score","Per100","Distance","Vertical","Touch%","Comp ($K)","Passes/96","PassPct/96","xPassPct/96","Score/96","Per100/96","Distance/96","Vertical/96","Touch%/96","extreme1","extreme2","plotnames"
"Jonathan","dos Santos","Jonathan dos Santos",2019,"LAG",2721,"CDM",2115,0.896,0.838,122.873450793326,5.80961942285229,18.7035838724839,3.57403744725738,0.140640081671979,2000,74.619625137817,0.89645390070922,0.838357706480697,4.33511623526618,5.80961942285229,18.7035838724839,3.57403744725738,0.140640081671979,2513,2737,"Santos 2019"
"Reto","Ziegler","Reto Ziegler",2019,"FCD",3148,"CB",2088,0.881,0.825,117.917486466467,5.64738919858561,22.3867334575781,6.5083125,0.110812893775731,870,63.6747141041931,0.881226053639847,0.824752161653991,3.59595892655047,5.64738919858561,22.3867334575781,6.5083125,0.110812893775731,2326,2681,"Ziegler 2019"
"Matt","Besler","Matt Besler",2018,"SKC",2959,"CB",2128,0.872,0.822,107.090904065408,5.03246729630675,22.8493108533882,7.26104795258621,0.115877882877015,783.25,69.0395403852653,0.87218045112782,0.821855778164752,3.47439229140897,5.03246729630675,22.8493108533882,7.26104795258621,0.115877882877015,2276,2621,"Besler 2018"
"Matt","Hedges","Matt Hedges",2019,"FCD",3146,"CB",1947,0.878,0.823,106.116220198572,5.45024243444129,21.8372636874467,6.90121123464014,0.107053076214284,575.008,59.4125874125874,0.877760657421674,0.823258233077262,3.23813005056036,5.45024243444129,21.8372636874467,6.90121123464014,0.107053076214284,2302,2662,"Hedges 2019"
"Osvaldo","Alonso","Osvaldo Alonso",2016,"SEA",2958,"CDM",2235,0.906,0.859,104.774123199284,4.68788023263016,20.750806691896,4.85941728395062,0.136089068825698,941.667,72.5354969574037,0.906040268456376,0.859161466130074,3.40037722350618,4.68788023263016,20.750806691896,4.85941728395062,0.136089068825698,2703,2754,"Alonso 2016"
"Eddie","Segura","Eddie Segura",2019,"LAFC",3187,"CB",1993,0.895,0.843,104.155705152079,5.22607652544303,20.0072023205017,6.50375280269058,0.098829455390983,212,60.0338876686539,0.895132965378826,0.842872200124396,3.13741691076236,5.22607652544303,20.0072023205017,6.50375280269058,0.098829455390983,2570,2734,"Segura 2019"
"Michael","Bradley","Michael Bradley",2019,"TOR",2544,"CDM",2126,0.882,0.836,97.3403080180287,4.5785657581387,20.2239004428253,4.487392,0.128497532755115,6500,80.2264150943396,0.881937911571025,0.836152253989638,3.67321917049165,4.5785657581387,20.2239004428253,4.487392,0.128497532755115,2481,2686,"Bradley 2019"
"Alexander","Callens","Alexander Callens",2017,"NYC",3236,"CB",1965,0.857,0.809,94.1266273391665,4.79015915212043,21.4686402289181,6.03572446555819,0.107153748081301,203.33333,58.2941903584672,0.856997455470738,0.809095863949534,2.79238449461063,4.79015915212043,21.4686402289181,6.03572446555819,0.107153748081301,2067,2501,"Callens 2017"
"Wil","Trapp","Wil Trapp",2017,"CLB",3210,"CDM",2286,0.89,0.849,93.8566447757184,4.10571499456336,20.3255760853679,4.77083292383292,0.125468335412355,350,68.3663551401869,0.890201224846894,0.849144074901261,2.80692769422709,4.10571499456336,20.3255760853679,4.77083292383292,0.125468335412355,2635,2722,"Trapp 2017"
"Bastian","Schweinsteiger","Bastian Schweinsteiger",2019,"CHI",2870,"CB",1881,0.869,0.819,93.3396487869323,4.96223544853441,22.0049014336687,6.78725214198286,0.123070438896689,5600,62.9184668989547,0.868686868686869,0.819064514201525,3.12216246813432,4.96223544853441,22.0049014336687,6.78725214198286,0.123070438896689,2235,2601,"Schweinsteiger 2019"
"Alexander","Callens","Alexander Callens",2018,"NYC",2923,"CB",2097,0.867,0.823,93.0860961601137,4.43901269242316,19.835045855395,4.63812259483233,0.11261867417721,564.00004,68.8717071501882,0.867429661421078,0.823039534496846,3.05722382188536,4.43901269242316,19.835045855395,4.63812259483233,0.11261867417721,2296,2590,"Callens 2018"
"Michael","Bradley","Michael Bradley",2018,"TOR",3034,"CM",2687,0.87,0.836,90.8742677532137,3.38199731124725,20.5330048066481,5.13314157399487,0.140853040164577,6500,85.0204350692156,0.870115370301451,0.836295397188979,2.87538882805159,3.38199731124725,20.5330048066481,5.13314157399487,0.140853040164577,2482,2611,"Bradley 2018"
"Haris","Medunjanin","Haris Medunjanin",2019,"PHI",3310,"CDM",2722,0.825,0.792,89.9458970353006,3.30440474045924,20.2002620410255,5.76781834372217,0.133140174802819,595.008,78.9462235649547,0.825128581925055,0.792084534520463,2.60870275389391,3.30440474045924,20.2002620410255,5.76781834372217,0.133140174802819,1755,2183,"Medunjanin 2019"
"Diego","Chara","Diego Chara",2019,"POR",2853,"CDM",1763,0.91,0.86,89.6748135685921,5.08648970893886,20.1293446118535,6.04692211838006,0.112686747181862,572,59.322818086225,0.910380034032898,0.85951513694351,3.01744903700836,5.08648970893886,20.1293446118535,6.04692211838006,0.112686747181862,2706,2759,"Chara 2019"
